"CO_PAIS";"CO_BLOCO";"NO_BLOCO";"NO_BLOCO_ING";"NO_BLOCO_ESP"
"072";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"452";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"445";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"301";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"573";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"355";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"271";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"246";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"321";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"764";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"607";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"247";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"015";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"781";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"791";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"670";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
"195";"22";"Unịo Europeia - UE";"European Union (EU)";"Uniao Europea (UE)"
